Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque
Tata Motors,Punch,1.2L Revotron Petrol,1199 cc,86 л.с.,160 km/h,16 сек,798 000 руб.,Petrol,5,113 Nm
Tata Motors,Hexa,2.2L Varicor Diesel,2179 cc,154 л.с.,180 km/h,12 сек,1 520 000 руб.,Diesel,7,400 Nm
Tata Motors,Aria,2.2L Dicor Diesel,2179 cc,138 л.с.,162 km/h,13 сек,1 444 000 руб.,Diesel,7,320 Nm
Tata Motors,Sumo Gold,3.0L CR4 Diesel,2956 cc,85 л.с.,125 km/h,17.6 сек,1 140 000 руб.,Diesel,7,250 Nm
Tata Motors,Sumo Grande,2.2L Dicor Diesel,2179 cc,118 л.с.,140 km/h,15 сек,1 254 000 руб.,Diesel,7,250 Nm
Tata Motors,Nexon EV Prime,Permanent Magnet Synchronous,30.2 kWh,129 л.с.,120 km/h,9.4 сек,1 672 000 руб.,Electric,5,245 Nm
Tata Motors,Tiago EV,Permanent Magnet Synchronous,24 kWh,74 л.с.,120 km/h,5.7 сек,836 000 руб.,Electric,5,114 Nm
Tesla,Model S,Dual Electric Motors,100 kWh,670 л.с.,250 km/h,3.1 сек,6 725 240 руб.,Electric,5,967 Nm
Tesla,Model S Plaid,Tri Electric Motors,100 kWh,"1,020 л.с.",322 km/h,2.1 сек,8 245 240 руб.,Electric,5,"1,400 Nm"
Tesla,Model 3,Single Electric Motor (RWD),60 kWh,283 л.с.,225 km/h,5.8 сек,3 058 240 руб.,Electric,5,420 Nm
Tesla,Model 3 Performance,Dual Electric Motors (AWD),82 kWh,450 л.с.,261 km/h,3.1 сек,4 046 240 руб.,Electric,5,660 Nm
Tesla,Model X,Dual Electric Motors (AWD),100 kWh,670 л.с.,250 km/h,3.8 сек,7 485 240 руб.,Electric,7,967 Nm
Tesla,Model X Plaid,Tri Electric Motors,100 kWh,"1,020 л.с.",262 km/h,2.6 сек,8 625 240 руб.,Electric,6,"1,400 Nm"
Tesla,Model Y,Single Electric Motor (RWD),75 kWh,346 л.с.,217 km/h,5.0 сек,3 609 240 руб.,Electric,5,498 Nm
Tesla,Model Y Long Range,Dual Electric Motors (AWD),82 kWh,384 л.с.,217 km/h,4.8 сек,3 837 240 руб.,Electric,5,559 Nm
Tesla,Cybertruck,Tri Electric Motors,200 kWh,800 л.с.,209 km/h,2.9 сек,5 312 400 руб.,Electric,6,"1,355 Nm"
Tesla,Roadster 2,Quad Electric Motors,200 kWh,"1,288 л.с.",402 km/h,1.9 сек,15 200 000 руб.,Electric,4,"10,000 Nm"
Jeep,Wrangler,3.6L V6 Pentastar Gasoline,3600 cc,285 л.с.,180 km/h,6.8 сек,2 674 820 руб.,Petrol,4,353 Nm
Jeep,Wrangler Rubicon,2.0L Turbo I4 Gasoline,2000 cc,270 л.с.,180 km/h,7.1 сек,3 199 600 руб.,Petrol,4,400 Nm
Jeep,Grand Cherokee,3.6L V6 Pentastar Gasoline,3600 cc,293 л.с.,209 km/h,7.0 сек,3 156 280 руб.,Petrol,5,352 Nm
Jeep,Grand Cherokee L,3.6L V6 Pentastar Gasoline,3600 cc,293 л.с.,209 km/h,7.2 сек,3 308 280 руб.,Petrol,7,352 Nm
Jeep,Cherokee,2.4L I4 Tigershark Gasoline,2400 cc,180 л.с.,195 km/h,8.5 сек,2 864 820 руб.,Petrol,5,230 Nm
Jeep,Compass,2.0L Turbo Gasoline,2000 cc,200 л.с.,200 km/h,7.8 сек,2 400 840 руб.,Petrol,5,320 Nm
Jeep,Renegade,1.3L Turbo I4 Gasoline,1300 cc,177 л.с.,200 km/h,8.7 сек,2 154 220 руб.,Petrol,5,285 Nm
Jeep,Gladiator,3.6L V6 Pentastar Gasoline,3600 cc,285 л.с.,177 km/h,8.1 сек,2 946 900 руб.,Petrol,5,353 Nm
Jeep,Wagoneer,5.7L V8 Gasoline with eTorque,5700 cc,392 л.с.,190 km/h,7.4 сек,4 833 220 руб.,Petrol,8,548 Nm
Jeep,Grand Wagoneer,6.4L V8 Gasoline,6400 cc,471 л.с.,190 km/h,6.0 сек,6 953 620 руб.,Petrol,8,617 Nm
Jeep,Grand Cherokee 4xe,2.0L Turbo PHEV,17.3 kWh,375 л.с.,210 km/h,6.0 сек,4 549 740 руб.,Hybrid,5,637 Nm
Jeep,Wrangler 4xe,2.0L Turbo PHEV,17.3 kWh,375 л.с.,180 km/h,6.4 сек,3 852 820 руб.,Hybrid,5,637 Nm
Jeep,Compass 4xe,1.3L Turbo PHEV,11.4 kWh,240 л.с.,200 km/h,7.3 сек,3 534 000 руб.,Hybrid,5,270 Nm
Jeep,Renegade 4xe,1.3L Turbo PHEV,11.4 kWh,240 л.с.,200 km/h,7.5 сек,3 382 000 руб.,Hybrid,5,270 Nm
Mazda,Mazda2,1.5L 4-Cylinder,"1,500 cc",108 л.с.,180 km/h,10.2 сек,1 292 000-1 520 000 руб.,Petrol,5,142 Nm
