Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque
Jaguar Land Rover,Jaguar F-Type R-Dynamic,I4 Petrol / V6 Petrol,1999 cc (I4) / 2995 cc (V6),300 л.с.,250 km/h,5.1 сек,5 320 000 руб.,Petrol,2,400 Nm
Jaguar Land Rover,Jaguar XE P300 R-Dynamic,I4 Petrol,1999 cc (I4),300 л.с.,250 km/h,5.5 сек,4 180 000 руб.,Petrol,5,400 Nm
Jaguar Land Rover,Jaguar XF Sportbrake,I4 Petrol / V6 Petrol,1999 cc (I4) / 2995 cc (V6),250 л.с.,250 km/h,6.5 сек,4 560 000 руб.,Petrol,5,400 Nm
Jaguar Land Rover,Jaguar I-PACE EV400 HSE,Electric (Dual Motor),90 kWh (Battery),400 л.с.,200 km/h,4.5 сек,6 460 000 руб.,Electric,5,696 Nm
Jaguar Land Rover,Jaguar F-PACE S 30t AWD,I4 Petrol,1999 cc (I4),247 л.с.,225 km/h,6.4 сек,4 560 000 руб.,Petrol,5,365 Nm
Jaguar Land Rover,Jaguar E-PACE R-Dynamic,I4 Petrol,1999 cc (I4),246 л.с.,230 km/h,6.8 сек,4 180 000 руб.,Petrol,5,430 Nm
Jaguar Land Rover,Jaguar XJ50,V6 Petrol,2995 cc (V6),300 л.с.,250 km/h,6.0 сек,6 080 000 руб.,Petrol,5,400 Nm
Jaguar Land Rover,Jaguar F-Type 75th Anniversary Edition,V8 Petrol,5000 cc (V8),550 л.с.,300 km/h,3.9 сек,7 600 000 руб.,Petrol,2,680 Nm
Jaguar Land Rover,Jaguar F-PACE S AWD,I4 Petrol / V6 Petrol,1999 cc (I4) / 2995 cc (V6),340 л.с.,250 km/h,5.4 сек,4 940 000 руб.,Petrol,5,480 Nm
Jaguar Land Rover,Jaguar XE SE,I4 Petrol,1999 cc (I4),250 л.с.,240 km/h,6.2 сек,3 800 000 руб.,Petrol,5,365 Nm
Jaguar Land Rover,Jaguar F-Type V6 S Convertible,V6 Petrol,2995 cc (V6),380 л.с.,280 km/h,4.8 сек,6 080 000 руб.,Petrol,2,460 Nm
Jaguar Land Rover,Jaguar XE R-Sport AWD,I4 Petrol / V6 Petrol,1999 cc (I4) / 2995 cc (V6),300 л.с.,250 km/h,5.5 сек,4 180 000 руб.,Petrol,5,400 Nm
Jaguar Land Rover,Jaguar XF Portfolio AWD,I4 Petrol / V6 Petrol,1999 cc (I4) / 2995 cc (V6),340 л.с.,250 km/h,5.4 сек,4 560 000 руб.,Petrol,5,450 Nm
Jaguar Land Rover,Jaguar F-Type Coupe R,V8 Petrol,5000 cc (V8),550 л.с.,300 km/h,3.9 сек,7 600 000 руб.,Petrol,2,680 Nm
Jaguar Land Rover,Jaguar I-PACE First Edition,Electric (Dual Motor),90 kWh (Battery),400 л.с.,200 km/h,4.5 сек,6 460 000 руб.,Electric,5,696 Nm
Jaguar Land Rover,Jaguar F-PACE Prestige AWD,I4 Petrol / V6 Petrol,1999 cc (I4) / 2995 cc (V6),340 л.с.,250 km/h,5.4 сек,4 940 000 руб.,Petrol,5,480 Nm
Jaguar Land Rover,Jaguar XJ Supercharged,V8 Petrol,5000 cc (V8),510 л.с.,280 km/h,4.2 сек,6 840 000 руб.,Petrol,5,625 Nm
Jaguar Land Rover,Jaguar F-Type P450 AWD,V8 Petrol,5000 cc (V8),450 л.с.,290 km/h,4.0 сек,6 840 000 руб.,Petrol,2,600 Nm
Jaguar Land Rover,Jaguar F-PACE P400e Plug-in Hybrid,I4 Petrol + Electric Motor,1999 cc (I4) + Electric,398 л.с.,220 km/h,5.1 сек,5 700 000 руб.,Plug-in Hybrid,5,640 Nm
Jaguar Land Rover,Jaguar F-Type P300 Coupe,I4 Petrol,1999 cc (I4),300 л.с.,250 km/h,5.5 сек,4 560 000 руб.,Petrol,2,400 Nm
Acura,NSX Type S,Twin-Turbo V6 Hybrid,"3,493 cc (V6)",600 л.с.,307 km/h,2.9 сек,11 932 000 руб.,Hybrid,2,666 Nm
Acura,TLX PMC Edition,V6,"3,500 cc (V6)",290 л.с.,250 km/h,5.7 сек,4 712 000 руб.,Petrol,5,362 Nm
Acura,MDX Advance,V6,"3,500 cc (V6)",290 л.с.,190 km/h,6.0 сек,4 560 000 руб.,Petrol,7,362 Nm
Acura,RDX Technology,I4 Turbocharged,"1,500 cc (I4)",272 л.с.,210 km/h,6.6 сек,3 420 000 руб.,Petrol,5,400 Nm
Acura,ILX Premium,I4,"2,400 cc (I4)",201 л.с.,200 km/h,6.6 сек,2 280 000 руб.,Petrol,5,180 Nm
Acura,TLX A-Spec,V6,"3,500 cc (V6)",290 л.с.,250 km/h,5.7 сек,3 800 000 руб.,Petrol,5,362 Nm
Acura,RDX SH-AWD,I4 Turbocharged,"1,500 cc (I4)",272 л.с.,210 km/h,6.6 сек,3 800 000 руб.,Petrol,5,400 Nm
Acura,MDX SH-AWD,V6,"3,500 cc (V6)",290 л.с.,190 km/h,6.0 сек,4 180 000 руб.,Petrol,7,362 Nm
Acura,RDX Platinum Elite,I4 Turbocharged,"1,500 cc (I4)",272 л.с.,210 km/h,6.6 сек,4 180 000 руб.,Petrol,5,400 Nm
Acura,TLX A-Spec Sedan,V6,"3,500 cc (V6)",290 л.с.,250 km/h,5.7 сек,3 800 000 руб.,Petrol,5,362 Nm
Acura,TLX 2.4L,Inline-4,"2,400 cc",206 л.с.,210 km/h,6.0 сек,2 660 000 руб.,Petrol,5,247 Nm
Acura,MDX Hybrid,V6 Hybrid,"3,500 cc",321 л.с.,190 km/h,6.0 сек,4 180 000 руб.,Hybrid,7,335 Nm
Acura,RDX Hybrid,Inline-4 Hybrid,"1,500 cc",247 л.с.,210 km/h,6.6 сек,3 800 000 руб.,Hybrid,5,400 Nm
Acura,ILX Technology Package,Inline-4,"2,400 cc",201 л.с.,200 km/h,6.6 сек,2 280 000 руб.,Petrol,5,180 Nm
Acura,NSX GT3 (Track Version),Twin-Turbo V6 Hybrid,"3,493 cc",500 л.с.,300 km/h,3.0 сек,11 400 000 руб.,Hybrid,2,600 Nm
Acura,RDX Turbo AWD,Inline-4 Turbocharged,"1,500 cc",272 л.с.,210 km/h,6.6 сек,3 420 000 руб.,Petrol,5,400 Nm
Acura,TLX 3.5L V6,V6,"3,500 cc",290 л.с.,250 km/h,5.7 сек,3 800 000 руб.,Petrol,5,362 Nm
Acura,ILX Special Edition,Inline-4,"2,400 cc",201 л.с.,200 km/h,6.6 сек,2 280 000 руб.,Petrol,5,180 Nm
Acura,MDX SH-AWD w/Technology Package,V6,"3,500 cc",290 л.с.,190 km/h,6.0 сек,4 180 000 руб.,Petrol,7,362 Nm
Acura,NSX 3.5L Hybrid Coupe,Twin-Turbo V6 Hybrid,"3,493 cc",537 л.с.,307 km/h,2.9 сек,11 932 000 руб.,Hybrid,2,666 Nm
Acura,MDX Elite,V6,"3,500 cc",290 л.с.,190 km/h,6.0 сек,4 408 000 руб.,Petrol,7,362 Nm
Acura,TLX V6 Advance,V6,"3,500 cc",290 л.с.,250 km/h,5.7 сек,3 496 000 руб.,Petrol,5,362 Nm
Acura,NSX Carbon Edition,Twin-Turbo V6 Hybrid,"3,493 cc",537 л.с.,307 km/h,2.9 сек,11 932 000 руб.,Hybrid,2,666 Nm
Acura,RDX Turbo SH-AWD,Turbocharged I4,"1,500 cc",272 л.с.,210 km/h,6.6 сек,3 192 000 руб.,Petrol,5,400 Nm
Acura,ILX Technology Plus,Inline-4,"2,400 cc",201 л.с.,200 km/h,6.6 сек,2 128 000 руб.,Petrol,5,180 Nm
Acura,TLX Type S PMC Edition,Turbocharged V6,"3,000 cc",355 л.с.,250 km/h,5.1 сек,4 104 000 руб.,Petrol,5,480 Nm
Acura,MDX Sport Hybrid,V6 Hybrid,"3,500 cc",321 л.с.,190 km/h,6.0 сек,3 952 000 руб.,Hybrid,7,335 Nm
Peugeot,208,Inline-4,"1,199 cc",82 л.с.,180 km/h,10.5 сек,1 672 000 руб.,Petrol,5,160 Nm
Peugeot,2008,Inline-4,"1,199 cc",100 л.с.,190 km/h,9.0 сек,1 900 000 руб.,Petrol,5,205 Nm
Peugeot,301,Inline-4,"1,598 cc",115 л.с.,185 km/h,10.0 сек,1 786 000 руб.,Petrol,5,150 Nm
Peugeot,308,Inline-4,"1,598 cc",130 л.с.,200 km/h,8.0 сек,2 128 000 руб.,Petrol,5,230 Nm
Peugeot,3008,Inline-4,"1,598 cc",180 л.с.,210 km/h,7.5 сек,2 432 000 руб.,Petrol,5,400 Nm
Peugeot,5008,Inline-4,"1,998 cc",165 л.с.,200 km/h,9.5 сек,2 660 000 руб.,Diesel,7,400 Nm
Peugeot,508,Inline-4,"1,998 cc",180 л.с.,235 km/h,8.0 сек,2 698 000 руб.,Petrol,5,300 Nm
Peugeot,Partner,Diesel I4,"1,560 cc",75 л.с.,160 km/h,12.0 сек,1 710 000 руб.,Diesel,5,200 Nm
Peugeot,Expert,Diesel I4,"1,997 cc",120 л.с.,180 km/h,10.0 сек,2 280 000 руб.,Diesel,3,300 Nm
Peugeot,Boxer,Diesel I4,"2,200 cc",140 л.с.,160 km/h,11.0 сек,2 432 000 руб.,Diesel,3,340 Nm
Peugeot,e-208,Electric Motor,50 kWh,136 л.с.,150 km/h,8.1 сек,2 660 000 руб.,Electric,5,260 Nm
Peugeot,e-2008,Electric Motor,50 kWh,136 л.с.,150 km/h,8.5 сек,2 888 000 руб.,Electric,5,260 Nm
Peugeot,208 GTI,Inline-4,"1,598 cc",208 л.с.,230 km/h,6.5 сек,2 128 000 руб.,Petrol,5,300 Nm
Peugeot,308 GTI,Inline-4,"1,598 cc",270 л.с.,250 km/h,6.0 сек,2 660 000 руб.,Petrol,5,330 Nm
Peugeot,508 PSE (Peugeot Sport Engineered),Hybrid I4,"1,598 cc (petrol) + Electric Motor",360 л.с.,250 km/h,5.2 сек,4 180 000 руб.,Hybrid,5,520 Nm
Peugeot,308 Allure,Inline-4,"1,199 cc",130 л.с.,205 km/h,9.3 сек,1 900 000 руб.,Petrol,5,230 Nm
Peugeot,2008 Allure,Inline-4,"1,199 cc",130 л.с.,200 km/h,9.7 сек,2 052 000 руб.,Petrol,5,230 Nm
Peugeot,3008 Allure,Inline-4,"1,499 cc",180 л.с.,210 km/h,8.0 сек,2 280 000 руб.,Petrol,5,250 Nm
Peugeot,5008 Allure,Inline-4,"1,499 cc",180 л.с.,200 km/h,8.5 сек,2 508 000 руб.,Petrol,7,250 Nm
Peugeot,508 Allure,Inline-4,"1,499 cc",180 л.с.,225 km/h,8.0 сек,2 660 000 руб.,Petrol,5,250 Nm
Peugeot,3008 GT,Inline-4,"1,598 cc",200 л.с.,220 km/h,7.5 сек,2 660 000 руб.,Petrol,5,280 Nm
Peugeot,508 GT,Inline-4,"1,598 cc",225 л.с.,235 km/h,6.8 сек,3 040 000 руб.,Petrol,5,300 Nm
Peugeot,3008 GT Hybrid,Hybrid I4,"1,598 cc (petrol) + Electric Motor",300 л.с.,235 km/h,6.0 сек,3 420 000 руб.,Hybrid,5,400 Nm
Peugeot,5008 GT Hybrid,Hybrid I4,"1,598 cc (petrol) + Electric Motor",300 л.с.,210 km/h,6.5 сек,3 648 000 руб.,Hybrid,7,400 Nm
Peugeot,208 Allure Premium,Inline-4,"1,199 cc",130 л.с.,200 km/h,9.5 сек,2 128 000 руб.,Petrol,5,230 Nm
Peugeot,Partner Tepee,Inline-4,"1,560 cc",100 л.с.,170 km/h,12.0 сек,1 900 000 руб.,Diesel,5,260 Nm
Peugeot,Expert L2H1,Inline-4,"1,997 cc",120 л.с.,160 km/h,13.0 сек,2 280 000 руб.,Diesel,3,320 Nm
Peugeot,Boxer L2H2,Inline-4,"2,200 cc",130 л.с.,140 km/h,14.0 сек,2 660 000 руб.,Diesel,3,350 Nm
Peugeot,Partner Electric,Electric Motor,-,136 л.с.,130 km/h,9.0 сек,3 040 000 руб.,Electric,5,260 Nm
Peugeot,Expert Electric,Electric Motor,-,136 л.с.,130 km/h,9.5 сек,3 420 000 руб.,Electric,5,260 Nm
Peugeot,208 PSE (Peugeot Sport Engineered),Hybrid I4,"1,598 cc (petrol) + Electric Motor",225 л.с.,250 km/h,5.5 сек,3 420 000 руб.,Hybrid,5,360 Nm
Peugeot,308 PSE,Hybrid I4,"1,598 cc (petrol) + Electric Motor",360 л.с.,250 km/h,5.0 сек,4 180 000 руб.,Hybrid,5,520 Nm
Peugeot,508 PSE,Hybrid I4,"1,598 cc (petrol) + Electric Motor",360 л.с.,250 km/h,5.2 сек,4 560 000 руб.,Hybrid,5,520 Nm
Peugeot,3008 PSE,Hybrid I4,"1,598 cc (petrol) + Electric Motor",300 л.с.,235 km/h,6.0 сек,3 800 000 руб.,Hybrid,5,400 Nm
Peugeot,2008 Active,Inline-4,"1,199 cc",100 л.с.,190 km/h,11.2 сек,1 672 000 руб.,Petrol,5,205 Nm
Peugeot,3008 Active,Inline-4,"1,499 cc",130 л.с.,200 km/h,10.0 сек,2 280 000 руб.,Petrol,5,240 Nm
Peugeot,5008 Active,Inline-4,"1,499 cc",130 л.с.,190 km/h,10.5 сек,2 508 000 руб.,Petrol,7,240 Nm
Peugeot,3008 Allure Premium,Inline-4,"1,499 cc",130 л.с.,200 km/h,9.8 сек,2 432 000 руб.,Petrol,5,240 Nm
Peugeot,5008 Allure Premium,Inline-4,"1,499 cc",130 л.с.,190 km/h,10.2 сек,2 660 000 руб.,Petrol,7,240 Nm
Peugeot,3008 GT Line,Inline-4,"1,598 cc",180 л.с.,210 km/h,8.5 сек,2 660 000 руб.,Petrol,5,250 Nm
Peugeot,5008 GT Line,Inline-4,"1,598 cc",180 л.с.,200 km/h,9.0 сек,2 888 000 руб.,Petrol,7,250 Nm
Peugeot,2008 GT,Inline-4,"1,199 cc",130 л.с.,200 km/h,9.3 сек,1 900 000 руб.,Petrol,5,230 Nm
Peugeot,5008 GT,Inline-4,"1,598 cc",180 л.с.,210 km/h,8.2 сек,3 040 000 руб.,Petrol,7,250 Nm
Peugeot,508 SW (Station Wagon),Inline-4,"1,598 cc",180 л.с.,220 km/h,8.4 сек,2 660 000 руб.,Petrol,5,300 Nm
Peugeot,508 Saloon,Inline-4,"1,598 cc",180 л.с.,210 km/h,8.6 сек,2 812 000 руб.,Petrol,5,300 Nm
Peugeot,308 Saloon,Inline-4,"1,199 cc",130 л.с.,200 km/h,9.0 сек,2 128 000 руб.,Petrol,5,230 Nm
Peugeot,301 Sedan,Inline-4,"1,199 cc",82 л.с.,180 km/h,12.0 сек,1 520 000 руб.,Petrol,5,115 Nm
Peugeot,208 Sedan,Inline-4,"1,199 cc",100 л.с.,190 km/h,11.2 сек,1 672 000 руб.,Petrol,5,205 Nm
Ford,Fusion (Mondeo),1.5L EcoBoost / 2.0L Hybrid,"1,500 - 2,000 cc",160 - 250 л.с.,220 km/h,7.5 сек,1 900 000 - 3 040 000 руб.,Petrol/Hybrid,5,200 - 400 Nm
Ford,Taurus,3.5L V6 / 2.0L EcoBoost,"2,000 - 3,500 cc",200 - 365 л.с.,220 km/h,6.5 сек,2 280 000 - 3 420 000 руб.,Petrol,5,300 - 500 Nm
Ford,Fiesta,1.0L EcoBoost / 1.5L,"1,000 - 1,500 cc",85 - 200 л.с.,200 km/h,7.0 сек,1 140 000 - 1 900 000 руб.,Petrol,5,130 - 290 Nm
Ford,Focus,1.0L EcoBoost / 1.5L / 2.0L,"1,000 - 2,000 cc",120 - 300 л.с.,220 km/h,6.5 сек,1 520 000 - 2 280 000 руб.,Petrol,5,150 - 400 Nm
Ford,KA+,1.2L Petrol,"1,200 cc",70 - 85 л.с.,165 km/h,10.5 сек,912 000 - 1 140 000 руб.,Petrol,5,100 - 140 Nm
Ford,EcoSport,1.0L Turbo Inline-3 / 2.0L,"1,000 - 2,000 cc",123 - 166 л.с.,180 km/h,9.0 сек,1 520 000 - 1 900 000 руб.,Petrol,5,170 - 200 Nm
Ford,Escape (Kuga),1.5L EcoBoost / 2.5L Hybrid,"1,500 - 2,500 cc",181 - 200 л.с.,190 km/h,7.5 сек,1 900 000 - 2 888 000 руб.,Petrol/Hybrid,5,230 - 200 Nm
Ford,Edge,2.0L EcoBoost / 2.7L V6,"2,000 - 2,700 cc",250 - 335 л.с.,200 km/h,6.5 сек,2 660 000 - 3 420 000 руб.,Petrol,5,400 - 475 Nm
Ford,Explorer,2.3L EcoBoost / 3.0L V6,"2,300 - 3,000 cc",300 - 400 л.с.,200 km/h,6.0 сек,2 660 000 - 4 180 000 руб.,Petrol,7,420 - 500 Nm
Ford,Expedition,3.5L EcoBoost / 5.4L V8,"3,500 - 5,400 cc",375 - 400 л.с.,180 km/h,6.5 сек,3 800 000 - 5 700 000 руб.,Petrol,8,650 - 800 Nm
Ford,Bronco,2.3L EcoBoost / 2.7L V6,"2,300 - 2,700 cc",275 - 310 л.с.,200 km/h,7.5 сек,2 280 000 - 4 180 000 руб.,Petrol,4,400 - 600 Nm
Ford,Bronco Sport,1.5L EcoBoost / 2.0L EcoBoost,"1,500 - 2,000 cc",181 - 250 л.с.,185 km/h,7.0 сек,1 976 000 - 2 888 000 руб.,Petrol,5,250 - 375 Nm
Ford,F-150,3.3L V6 / 5.0L V8 / 3.5L EcoBoost,"3,300 - 5,000 cc",290 - 450 л.с.,200 km/h,5.0 - 6.5 сек,2 660 000 - 5 700 000 руб.,Petrol/Diesel,5,400 - 700 Nm
Ford,F-250 Super Duty,6.2L V8 / 7.3L V8 / 6.7L Turbo-Diesel,"6,200 - 7,300 cc",385 - 475 л.с.,180 km/h,6.5 - 7.0 сек,3 040 000 - 5 320 000 руб.,Petrol/Diesel,5,"700 - 1,050 Nm"
Ford,F-350 Super Duty,6.7L Turbo-Diesel / 7.3L V8,"6,700 - 7,300 cc",450 - 475 л.с.,180 km/h,7.0 - 8.0 сек,3 420 000 - 5 700 000 руб.,Diesel,5,"1,050 - 1,200 Nm"
Ford,Maverick,2.5L Hybrid / 2.0L EcoBoost,"2,500 - 2,000 cc",191 - 250 л.с.,180 km/h,6.5 - 8.0 сек,1 672 000 - 2 280 000 руб.,Hybrid/Petrol,5,250 - 380 Nm
Ford,Ranger,2.3L Turbo Inline-4 / 2.7L V6,"2,300 - 2,700 cc",270 - 325 л.с.,180 km/h,6.0 - 7.0 сек,1 900 000 - 3 420 000 руб.,Petrol/Diesel,5,400 - 540 Nm
Ford,Mustang Mach-E,Electric Motor,Battery (68-98 kWh),290-480 л.с.,180 km/h,3.5 сек (GT Model),3 268 000 - 4 636 000 руб.,Electric,5,430 Nm (GT Model)
Ford,F-150 Lightning,Electric Motor,Battery (98 kWh),452 л.с.,180 km/h,4.5 сек,3 040 000 - 6 840 000 руб.,Electric,5,1051 Nm
Ford,Escape Hybrid,2.5L Inline-4 + Electric,"2,500 cc",200 л.с.,180 km/h,7.7 сек,2 128 000 - 2 888 000 руб.,Hybrid,5,210 Nm (Electric)
Ford,Explorer Hybrid,3.3L V6 + Electric,"3,300 cc",318 л.с.,180 km/h,7.5 сек,3 800 000 - 4 180 000 руб.,Hybrid,7,500 Nm
Ford,Mustang,5.0L V8,"5,000 cc",450 л.с.,250 km/h,4.3 сек,4 180 000 руб.,Petrol,4,530 Nm
Ford,GT,3.5L Twin-Turbo V6,"3,500 cc",660 л.с.,348 km/h,3.0 сек,38 000 000 руб.,Petrol,2,746 Nm
Ford,Focus ST,2.3L Turbo Inline-4,"2,300 cc",280 л.с.,250 km/h,5.7 сек,2 280 000 руб.,Petrol,5,420 Nm
Ford,Fiesta ST,1.5L Turbo Inline-3,"1,500 cc",200 л.с.,230 km/h,6.5 сек,1 748 000 руб.,Petrol,5,290 Nm
Ford,Bronco Raptor,3.0L Twin-Turbo V6,"3,000 cc",400 л.с.,220 km/h,5.5 сек,5 320 000 руб.,Petrol,4,583 Nm
Ford,Ranger Raptor,2.7L Twin-Turbo V6,"2,700 cc",392 л.с.,200 km/h,6.0 сек,3 420 000 руб.,Petrol,5,583 Nm
Ford,F-150 Raptor,3.5L Twin-Turbo V6,"3,500 cc",450 л.с.,200 km/h,5.0 сек,5 320 000 руб.,Petrol,5,691 Nm
Ford,Puma,Turbocharged Inline-3,"1,000 cc",123 л.с.,191 km/h,9.6 сек,2 128 000 руб.,Petrol,5,200 Nm
Ford,Territory,Turbocharged Inline-4,"1,500 cc",140 л.с.,180 km/h,11.0 сек,2 432 000 руб.,Petrol,5,225 Nm
Ford,Everest,Turbocharged Inline-4,"2,000 cc",210 л.с.,190 km/h,10.5 сек,3 952 000 руб.,Diesel,7,500 Nm
Ford,Flex,Naturally Aspirated V6,"3,500 cc",287 л.с.,200 km/h,7.9 сек,2 356 000 руб.,Petrol,7,345 Nm
Ford,Transit,EcoBlue Turbo Diesel,"2,000 cc",170 л.с.,160 km/h,12.0 сек,3 302 580 руб.,Diesel,2–15,405 Nm
Ford,Transit Connect,Inline-4 Gasoline Engine,"2,000 cc",162 л.с.,175 km/h,10.5 сек,2 231 740 руб.,Petrol,2–7,200 Nm
Ford,F-450 Super Duty,Turbocharged V8 Diesel,"6,700 cc",475 л.с.,165 km/h,8.5 сек,4 683 500 руб.,Diesel,2–6,"1,424 Nm"
Ford,F-550 Super Duty,Turbocharged V8 Diesel,"6,700 cc",475 л.с.,165 km/h,8.8 сек,4 905 040 руб.,Diesel,2–6,"1,424 Nm"
Ford,Mustang Shelby GT500,Supercharged V8,"5,200 cc",760 л.с.,290 km/h,3.5 сек,6 035 920 руб.,Petrol,2,847 Nm
Ford,Mustang Shelby GT350,Naturally Aspirated V8,"5,200 cc",526 л.с.,280 km/h,4.0 сек,4 494 640 руб.,Petrol,2,582 Nm
Ford,F-150 Platinum,Turbocharged V6,"3,500 cc",400 л.с.,180 km/h,6.5 сек,4 916 820 руб.,Petrol,5,678 Nm
Ford,F-150 Limited,Turbocharged V6,"3,500 cc",450 л.с.,190 km/h,6.1 сек,6 453 160 руб.,Petrol,5,678 Nm
Ford,Explorer Platinum,Turbocharged V6,"3,000 cc",400 л.с.,230 km/h,6.0 сек,4 294 380 руб.,Petrol,7,563 Nm
Ford,Expedition King Ranch,Turbocharged V6,"3,500 cc",440 л.с.,210 km/h,6.8 сек,6 046 560 руб.,Petrol,7–8,691 Nm
Ford,Transit Custom,EcoBlue Turbo Diesel,"2,000 cc",130 л.с.,160 km/h,12.5 сек,2 660 000 руб.,Diesel,2–9,385 Nm
Ford,E-Series Cutaway,V8 Gasoline Engine,"7,300 cc",350 л.с.,140 km/h,13.0 сек,2 736 000 руб.,Petrol,2,569 Nm
Ford,Transit Chassis Cab,EcoBlue Turbo Diesel,"2,000 cc",170 л.с.,160 km/h,11.5 сек,2 812 000 руб.,Diesel,2,405 Nm
Ford,Transit Electric (E-Transit),Electric Motor,89 kWh (Electric),266 л.с.,140 km/h,9.0 сек,3 952 000 руб.,Electric,2–12,430 Nm
Ford,Explorer Plug-in Hybrid,V6 Hybrid + Electric Motor,"3,000 cc (petrol) + Electric Motor",457 л.с.,225 km/h,6.0 сек,4 028 000 руб.,Hybrid,7,825 Nm
Ford,Maverick Hybrid,I4 Hybrid,"2,500 cc (petrol) + Electric Motor",191 л.с.,180 km/h,7.8 сек,1 900 000 руб.,Hybrid,5,210 Nm
Ford,Mustang (2024),V8 Gasoline Engine,"5,000 cc",450 л.с.,250 km/h,4.5 сек,4 560 000 руб.,Petrol,4,570 Nm
Ford,Ranger (2024),I4 Turbo Diesel,"2,000 cc",210 л.с.,180 km/h,8.0 сек,3 040 000 руб.,Diesel,5,500 Nm
Ford,Escape Plug-in Hybrid (2024),I4 Hybrid,"2,500 cc (petrol) + Electric Motor",221 л.с.,190 km/h,7.5 сек,2 888 000 руб.,Hybrid,5,210 Nm
Ford,Bronco (2024),V6 EcoBoost,"2,700 cc",310 л.с.,200 km/h,6.7 сек,3 420 000 руб.,Petrol,5,542 Nm
Ford,Explorer (2024),V6 Turbocharged,"3,000 cc",400 л.с.,230 km/h,5.9 сек,4 180 000 руб.,Petrol,7,563 Nm
Mitsubishi,Mirage,1.2L MIVEC,"1,200 cc",78 л.с.,170 km/h,12.0 сек,1 216 000 - 1 368 000 руб.,Petrol,5,100 Nm
Mitsubishi,Mirage G4,1.2L MIVEC,"1,200 cc",78 л.с.,170 km/h,12.0 сек,1 292 000 - 1 444 000 руб.,Petrol,5,100 Nm
Mitsubishi,Outlander,2.5L 4-Cylinder,"2,500 cc",181 л.с.,190 km/h,9.5 сек,2 128 000 - 2 660 000 руб.,Petrol,7,245 Nm
Mitsubishi,Outlander PHEV,2.4L Hybrid,"2,400 cc / 20 kWh battery",248 л.с.,170 km/h,10.5 сек,2 964 000 - 3 268 000 руб.,Hybrid,5,300 Nm
Mitsubishi,Eclipse Cross,1.5L Turbo,"1,500 cc",152 л.с.,180 km/h,9.8 сек,1 900 000 - 2 128 000 руб.,Petrol,5,250 Nm
Mitsubishi,ASX (Outlander Sport),2.0L MIVEC,"2,000 cc",148 л.с.,190 km/h,10.0 сек,1 748 000 - 1 976 000 руб.,Petrol,5,197 Nm
Mitsubishi,Pajero,3.2L Diesel Turbo,"3,200 cc",189 л.с.,180 km/h,10.5 сек,3 040 000 - 3 420 000 руб.,Diesel,7,441 Nm
Mitsubishi,Pajero Sport,2.4L Diesel Turbo,"2,400 cc",181 л.с.,180 km/h,11.0 сек,2 660 000 - 3 040 000 руб.,Diesel,7,430 Nm
Mitsubishi,Triton (L200),2.4L Diesel Turbo,"2,400 cc",181 л.с.,177 km/h,10.5 сек,1 900 000 - 2 660 000 руб.,Diesel,5,430 Nm
Mitsubishi,Lancer Evolution X,2.0L Turbocharged,"2,000 cc",291 л.с.,240 km/h,5.0 сек,3 040 000 - 3 800 000 руб.,Petrol,5,407 Nm
Mitsubishi,i-MiEV (Electric),Electric Motor,16 kWh battery,66 л.с.,130 km/h,15.0 сек,1 748 000 - 1 976 000 руб.,Electric,4,196 Nm
Mitsubishi,Xpander,1.5L MIVEC,"1,500 cc",105 л.с.,170 km/h,13.5 сек,1 520 000 - 1 900 000 руб.,Petrol,7,141 Nm
Mitsubishi,Delica D:5,2.2L Diesel Turbo,"2,200 cc",145 л.с.,175 km/h,11.0 сек,2 660 000 - 3 040 000 руб.,Diesel,7,360 Nm
Mitsubishi,Colt,1.1L / 1.5L MIVEC,"1,100 - 1,500 cc",75 - 150 л.с.,180 km/h,9.0 - 12.0 сек,1 140 000 - 1 520 000 руб.,Petrol,5,100 - 180 Nm
Mitsubishi,Grandis,2.4L MIVEC,"2,400 cc",165 л.с.,190 km/h,11.0 сек,1 900 000 - 2 280 000 руб.,Petrol,7,217 Nm
Mitsubishi,Outlander Black Edition,2.5L 4-Cylinder,"2,500 cc",181 л.с.,190 km/h,9.5 сек,2 432 000 - 2 660 000 руб.,Petrol,7,245 Nm
Mitsubishi,Outlander SEL,2.5L 4-Cylinder,"2,500 cc",181 л.с.,190 km/h,9.5 сек,2 356 000 - 2 584 000 руб.,Petrol,7,245 Nm
Mitsubishi,Outlander SE,2.5L 4-Cylinder,"2,500 cc",181 л.с.,190 km/h,9.5 сек,2 204 000 - 2 432 000 руб.,Petrol,7,245 Nm
Mitsubishi,Eclipse Cross Black Edition,1.5L Turbo,"1,500 cc",152 л.с.,180 km/h,9.8 сек,2 128 000 - 2 280 000 руб.,Petrol,5,250 Nm
Mitsubishi,ASX Exceed,2.0L MIVEC,"2,000 cc",148 л.с.,190 km/h,10.0 сек,1 976 000 - 2 128 000 руб.,Petrol,5,197 Nm
Mitsubishi,Triton Athlete,2.4L Diesel Turbo,"2,400 cc",181 л.с.,177 km/h,10.5 сек,2 052 000 - 2 660 000 руб.,Diesel,5,430 Nm
